COL1,LOC2014
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/core/io/DescriptiveResource.java,24
/mnt/dados/projetopydriller/spring-framework/spring-core/src/test/java/org/springframework/core/convert/support/CollectionToCollectionConverterTests.java,215
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/scripting/config/LangNamespaceHandler.java,11
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/resource/ResourceUrlEncodingFilter.java,37
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/core/convert/support/NumberToNumberConverterFactory.java,17
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/core/Constants.java,129
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/beans/factory/xml/XmlBeanFactoryTestTypes.java,6
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ViewMethodReturnValueHandler.java,22
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/cache/config/CacheAdviceNamespaceTests.java,9
/mnt/dados/projetopydriller/spring-framework/spring-test/src/main/java/org/springframework/mock/web/MockRequestDispatcher.java,36
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/ConfigurationClassPostProcessorTests.java,600
/mnt/dados/projetopydriller/spring-framework/spring-aspects/src/test/java/org/springframework/cache/config/DefaultCacheableService.java,90
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/handler/WebRequestHandlerInterceptorAdapter.java,24
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/tests/sample/beans/BeanWithObjectProperty.java,9
/mnt/dados/projetopydriller/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/DataSourceUtils.java,228
/mnt/dados/projetopydriller/spring-framework/spring-test/src/main/java/org/springframework/mock/web/MockHttpServletResponse.java,374
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/test/java/org/springframework/dao/annotation/PersistenceExceptionTranslationAdvisorTests.java,128
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/RequestMappingInfoHandlerMethodMappingNamingStrategy.java,17
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/resource/CachingResourceResolver.java,51
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/access/el/SimpleSpringBeanELResolver.java,10
/mnt/dados/projetopydriller/spring-framework/spring-orm/src/main/java/org/springframework/orm/jpa/persistenceunit/MutablePersistenceUnitInfo.java,137
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/test/java/org/springframework/transaction/TestTransactionManager.java,47
/mnt/dados/projetopydriller/spring-framework/spring-web/src/test/java/org/springframework/http/HttpEntityTests.java,52
/mnt/dados/projetopydriller/spring-framework/spring-webmvc-portlet/src/main/java/org/springframework/web/portlet/multipart/DefaultMultipartActionRequest.java,103
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/remoting/support/UrlBasedRemoteAccessor.java,14
/mnt/dados/projetopydriller/spring-framework/spring-oxm/src/main/java/org/springframework/oxm/support/AbstractMarshaller.java,194
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/web/servlet/setup/ConditionalDelegatingFilterProxyTests.java,153
/mnt/dados/projetopydriller/spring-framework/spring-jms/src/test/java/org/springframework/jms/support/destination/JndiDestinationResolverTests.java,78
/mnt/dados/projetopydriller/spring-framework/spring-messaging/src/main/java/org/springframework/messaging/MessageDeliveryException.java,17
/mnt/dados/projetopydriller/spring-framework/spring-messaging/src/test/java/org/springframework/messaging/MessageHeadersTests.java,129
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/test/aspect/PerThisAspect.java,9
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/propertyeditors/URIEditor.java,66
/mnt/dados/projetopydriller/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/datasource/SimpleDriverDataSource.java,38
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/context/transaction/programmatic/ProgrammaticTxMgmtTests.java,152
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/test/java/org/springframework/transaction/annotation/AnnotationTransactionNamespaceHandlerTests.java,64
/mnt/dados/projetopydriller/spring-framework/spring-jms/src/main/java/org/springframework/jms/listener/DefaultMessageListenerContainer.java,552
/mnt/dados/projetopydriller/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/config/MessageBrokerBeanDefinitionParser.java,376
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/core/io/InputStreamResource.java,37
/mnt/dados/projetopydriller/spring-framework/spring-context-support/src/main/java/org/springframework/mail/MailPreparationException.java,11
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/configuration/spr8955/Spr8955Tests.java,7
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/tags/form/RadioButtonsTagTests.java,501
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/scheduling/concurrent/CustomizableThreadFactory.java,11
/mnt/dados/projetopydriller/spring-framework/spring-web/src/main/java/org/springframework/web/util/ServletContextPropertyUtils.java,35
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/core/convert/support/ArrayToArrayConverter.java,21
/mnt/dados/projetopydriller/spring-framework/spring-web/src/main/java/org/springframework/http/HttpHeaders.java,380
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/ui/ModelMapTests.java,193
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/aop/aspectj/generic/AfterReturningGenericTypeMatchingTests.java,37
/mnt/dados/projetopydriller/spring-framework/spring-oxm/src/test/java/org/springframework/oxm/jaxb/XmlRegObjectFactory.java,5
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/remoting/support/RemoteInvocationUtilsTests.java,15
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/context/junit4/TimedTransactionalSpringRunnerTests.java,14
/mnt/dados/projetopydriller/spring-framework/spring-web/src/test/java/org/springframework/mock/web/test/MockSessionCookieConfig.java,51
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/validation/BindingResultUtils.java,18
/mnt/dados/projetopydriller/spring-framework/spring-core/src/test/java/org/springframework/util/PatternMatchUtilsTests.java,48
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/web/servlet/result/XpathResultMatchersTests.java,51
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/view/xslt/XsltViewTests.java,131
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/beans/factory/xml/XmlBeanFactoryTestTypes.java,12
/mnt/dados/projetopydriller/spring-framework/spring-web/src/main/java/org/springframework/http/server/ServletServerHttpResponse.java,78
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/propertyeditors/CustomBooleanEditor.java,53
/mnt/dados/projetopydriller/spring-framework/spring-webmvc-portlet/src/main/java/org/springframework/web/portlet/mvc/SimpleControllerHandlerAdapter.java,32
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/context/junit4/annotation/meta/ConfigClassesAndProfilesMetaConfigTests.java,16
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/main/java/org/springframework/transaction/interceptor/MatchAlwaysTransactionAttributeSource.java,25
/mnt/dados/projetopydriller/spring-framework/spring-core/src/test/java/org/springframework/util/StreamUtilsTests.java,68
/mnt/dados/projetopydriller/spring-framework/spring-web/src/main/java/org/springframework/http/InvalidMediaTypeException.java,14
/mnt/dados/projetopydriller/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/SingleColumnRowMapper.java,60
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/util/comparator/CompoundComparator.java,78
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/main/java/org/springframework/transaction/annotation/SpringTransactionAnnotationParser.java,53
/mnt/dados/projetopydriller/spring-framework/spring-web/src/test/java/org/springframework/web/client/HttpMessageConverterExtractorTests.java,96
/mnt/dados/projetopydriller/spring-framework/spring-aop/src/main/java/org/springframework/aop/aspectj/annotation/SimpleMetadataAwareAspectInstanceFactory.java,13
/mnt/dados/projetopydriller/spring-framework/spring-jms/src/test/java/org/springframework/jms/listener/adapter/MessageListenerAdapterTests.java,305
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/config/annotation/DefaultServletHandlerConfigurerTests.java,46
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/main/java/org/springframework/transaction/support/TransactionSynchronizationAdapter.java,19
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/main/java/org/springframework/transaction/jta/JtaTransactionObject.java,24
/mnt/dados/projetopydriller/spring-framework/spring-webmvc-portlet/src/test/java/org/springframework/context/ACATester.java,19
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/jmx/export/assembler/AbstractMetadataAssemblerAutodetectTests.java,8
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/support/ReplaceOverride.java,49
/mnt/dados/projetopydriller/spring-framework/spring-context-support/src/test/java/org/springframework/cache/jcache/AbstractJCacheTests.java,18
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/scheduling/concurrent/ScheduledExecutorFactoryBeanTests.java,146
/mnt/dados/projetopydriller/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/nativejdbc/NativeJdbcExtractorAdapter.java,49
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/context/junit4/annotation/ExplicitConfigClassesInheritedTests.java,7
/mnt/dados/projetopydriller/spring-framework/spring-web/src/test/java/org/springframework/web/method/annotation/ErrorsMethodHandlerArgumentResolverTests.java,36
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/view/jasperreports/JasperReportsXlsViewTests.java,8
/mnt/dados/projetopydriller/spring-framework/spring-websocket/src/test/java/org/springframework/web/socket/WebSocketIntegrationTests.java,25
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/support/PropertyResourceConfigurerIntegrationTests.java,108
/mnt/dados/projetopydriller/spring-framework/spring-jms/src/main/java/org/springframework/jms/listener/endpoint/JmsActivationSpecConfig.java,110
/mnt/dados/projetopydriller/spring-framework/spring-web/src/test/java/org/springframework/web/jsf/MockFacesContext.java,62
/mnt/dados/projetopydriller/spring-framework/spring-test/src/main/java/org/springframework/test/web/servlet/result/StatusResultMatchers.java,287
/mnt/dados/projetopydriller/spring-framework/spring-aop/src/test/java/org/springframework/aop/aspectj/autoproxy/AspectJPrecedenceComparatorTests.java,129
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/core/convert/converter/ConvertingComparator.java,50
